,ID,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Fecha,Categoria_Acceso,Tasa_Cambio,Porcentaje_ADSL,Porcentaje_Cablemodem,Porcentaje_Fibra óptica,Porcentaje_Wireless,Porcentaje_Otros,Total_Porcentaje,Porcentaje_HASTA 512 kbps,Porcentaje_+ 512 Kbps - 1 Mbps,Porcentaje_+ 1 Mbps - 6 Mbps,Porcentaje_+ 6 Mbps - 10 Mbps,Porcentaje_+ 10 Mbps - 20 Mbps,Porcentaje_+ 20 Mbps - 30 Mbps,Porcentaje_+ 30 Mbps,Porcentaje_OTROS,Mbps (Media de bajada),Accesos por cada 100 hab,Ingresos (miles de pesos),Periodo
263,córdoba_2019_4,2019,4,córdoba,70.48295566244217,2019-10-01,Alto,0.027562937835199364,36.80134079098735,50.82981276528224,6.611602007219644,4.67962830735055,1.0776161291602204,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24169250.699015297,Oct-Dic 2019
264,córdoba_2020_1,2020,1,córdoba,70.6880744339108,2020-01-01,Alto,0.0029101896982157704,35.28151310752448,50.06898048203734,8.446811055123973,5.1309396263588045,1.071755728955405,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29946216.452049132,Ene-Mar 2020
265,córdoba_2020_2,2020,2,córdoba,72.71358531242393,2020-04-01,Alto,0.02865420928118323,33.81575864229116,49.61421118321322,10.259567610476433,5.322618438481807,0.9878441255373787,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32102475.991463635,Abr-Jun 2020
266,córdoba_2020_3,2020,3,córdoba,75.22035723669207,2020-07-01,Alto,0.034474602146180144,31.858088791338513,49.658202224394564,11.78331980744047,5.575741925964181,1.1246472508622758,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31997444.530699246,Jul-Sept 2020
267,córdoba_2020_4,2020,4,córdoba,78.07960876338194,2020-10-01,Alto,0.03801167172993902,29.621768448245877,48.66749898360587,13.916014272721533,5.852103852770741,1.9426144426559846,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33539702.716311768,Oct-Dic 2020
268,córdoba_2021_1,2021,1,córdoba,78.59028062380018,2021-01-01,Alto,0.00654039983686161,28.58221875305336,48.82031791199948,14.780635450733959,5.9433669162053,1.8734609680078957,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36676371.36239245,Ene-Mar 2021
269,córdoba_2021_2,2021,2,córdoba,80.11518795931242,2021-04-01,Alto,0.019403256018536652,25.75842213819182,50.251589893434165,16.3130586112066,6.009797181161911,1.6671321760055,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38239666.63354247,Abr-Jun 2021
270,córdoba_2021_3,2021,3,córdoba,81.2845665540848,2021-07-01,Alto,0.014596216080354996,24.216086388927614,50.40441999687364,17.69086638191443,6.085522841438633,1.6031043908456803,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42999944.292822465,Jul-Sept 2021
271,córdoba_2021_4,2021,4,córdoba,84.50941853046088,2021-10-01,Alto,0.039673607341319084,21.48535119632741,49.40249500896866,22.012627055950222,6.2098564001743055,0.8896703385794056,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45467887.16501248,Oct-Dic 2021
272,córdoba_2022_1,2022,1,córdoba,85.75745356313551,2022-01-01,Alto,0.014767999287851996,19.48689135218763,49.98978883306784,23.49445060435165,6.061249069787598,0.967620140605278,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55219313.0146503,Ene-Mar 2022
273,córdoba_2022_2,2022,2,córdoba,87.48,2022-04-01,Alto,0.020086259156428143,17.456633883295094,45.55524704438177,30.093966008563623,5.953323883148958,0.9408291806105598,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60419500.6232803,Abr-Jun 2022
274,córdoba_2022_3,2022,3,córdoba,88.31,2022-07-01,Alto,0.009487882944672954,15.767309669692336,44.81326083021716,32.59655635872098,5.879645854113153,0.9432272872563707,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64086784.3305304,Jul-Sept 2022
275,córdoba_2022_4,2022,4,córdoba,89.03,2022-10-01,Alto,0.008153097044502289,14.506125793113961,43.53285825886478,35.00114322733076,5.871520301812015,1.0883524188784939,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72443482.9891497,Oct-Dic 2022
276,córdoba_2023_1,2023,1,córdoba,88.84,2023-01-01,Alto,-0.002134112097045948,13.045681218165816,43.347727367967906,36.79117157409912,5.815964616199289,0.9994552235678666,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
277,córdoba_2023_2,2023,2,córdoba,90.13,2023-04-01,Muy Alto,0.014520486267447064,12.109845834843517,42.512158733637335,38.55795967411878,5.843216255475293,0.9768195019250744,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118060280.28,Jun-Mar 2023
278,córdoba_2023_3,2023,3,córdoba,90.05,2023-07-01,Muy Alto,-0.0008876067901919527,11.694194704367392,42.45577153630203,39.027843498850686,5.846068674520776,0.976121585959111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133106593.41,Jul-Sept 2023
279,córdoba_2023_4,2023,4,córdoba,90.67,2023-10-01,Muy Alto,0.006885063853414808,10.716370394940434,41.91412598142132,40.81675008477701,5.731667318322397,0.8210862205388297,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167376014.8,Oct-Dic 2023
280,entre ríos_2014_1,2014,1,entre ríos,34.367121821250166,2014-01-01,Medio,0.0,80.3113205440293,15.915164779537113,0.03647706039559,3.638028452107109,0.09900916393088713,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2984054.2087800005,Ene-Mar 2014
281,entre ríos_2014_2,2014,2,entre ríos,34.687432371459764,2014-04-01,Medio,0.009320261145975284,80.31980410523443,16.009381707146176,0.03614022406938923,3.5365790696473747,0.09809489390262792,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3270816.20391,Abr-Jun 2014
282,entre ríos_2014_3,2014,3,entre ríos,34.981647333712985,2014-07-01,Medio,0.008481889322407676,79.64938968646925,16.411546590801052,0.03510491249369209,3.805226243847498,0.098732566388509,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3478637.7427996206,Jul-Sept 2014
283,entre ríos_2014_4,2014,4,entre ríos,36.0254708519679,2014-10-01,Medio,0.029839175619638336,79.7447678836471,16.352893553862213,0.040479217117737706,3.6772173023797516,0.18464204299318956,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3950440.78037,Oct-Dic 2014
284,entre ríos_2015_1,2015,1,entre ríos,42.06519337351208,2015-01-01,Medio,0.16765145267252635,67.66002288191726,28.548804720900822,0.06503281748660203,3.5786114289155173,0.14752815077979164,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4876385.315070001,Ene-Mar 2015
285,entre ríos_2015_2,2015,2,entre ríos,42.93197901645878,2015-04-01,Medio,0.020605768651773326,66.89283270006844,29.362447785146202,0.07020980341255045,3.5582800368158964,0.11622967455691124,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4701790.719660001,Abr-Jun 2015
