,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud,Total_Servicios_Disponibles,Categoria_Poblacion
117,BUENOS AIRES,Tordillo,General Conesa,1302,True,True,False,False,False,True,True,True,True,6812010.0,-36.5208587437818,-57.3249371025508,6,Pequeña
118,BUENOS AIRES,Tordillo,Villa Roch,0,False,False,False,False,False,True,False,True,True,6812010.0,-36.4735206430311,-57.3384090004103,3,Muy pequeña
119,BUENOS AIRES,Tornquist,Chasicó,203,False,False,False,False,False,False,True,False,False,6819010.0,-38.3352258409739,-62.6424099899733,1,Muy pequeña
120,BUENOS AIRES,Tornquist,Saldungaray,1351,True,False,False,False,False,False,True,True,True,6819020.0,-38.2028131038038,-61.7678925154653,4,Pequeña
121,BUENOS AIRES,Tornquist,Sierra de la Ventana,2165,False,True,False,True,False,False,True,True,True,6819030.0,-38.1366716139365,-61.7956860399239,5,Mediana
122,BUENOS AIRES,Tornquist,Tornquist,6473,True,True,False,True,True,False,True,True,True,6819040.0,-38.0989983131157,-62.2218091270044,7,Mediana
123,BUENOS AIRES,Tornquist,Tres Picos,82,False,False,False,False,False,False,False,False,True,6819050.0,-38.2867749310339,-62.2073117423093,1,Muy pequeña
124,BUENOS AIRES,Tornquist,Villa Serrana La Gruta,52,False,True,False,False,False,False,False,False,False,6819060.0,-38.0568266332177,-62.0782618310425,1,Muy pequeña
125,BUENOS AIRES,Tornquist,Villa Ventana,609,True,False,False,False,False,False,True,False,True,6819070.0,-38.0795765714478,-61.9311383483155,3,Pequeña
126,BUENOS AIRES,Trenque Lauquen,30 de Agosto,4777,False,True,False,True,False,False,True,True,True,6826040.0,-36.2779720057322,-62.5453088654651,5,Mediana
127,BUENOS AIRES,Trenque Lauquen,Berutti,1098,False,False,False,True,False,False,True,True,True,6826010.0,-35.8580311359835,-62.5126328995628,4,Pequeña
128,BUENOS AIRES,Trenque Lauquen,Girodias,161,True,False,False,False,False,True,True,False,False,6826020.0,-36.367451804132,-62.3569660936558,3,Muy pequeña
129,BUENOS AIRES,Trenque Lauquen,La Carreta,45,False,False,False,False,False,True,False,False,False,6826030.0,-36.207576751709,-62.2386894226074,1,Muy pequeña
130,CABA,COMUNA 01,RETIRO,65413,True,True,True,True,True,True,True,True,True,2000010.0,-34.5884243429366,-58.3759359131827,9,Grande
131,CABA,COMUNA 12,SAAVEDRA,50295,True,True,True,True,True,True,True,True,True,2000010.0,-34.553063289604,-58.4887266668384,9,Grande
132,BUENOS AIRES,Arrecifes,Arrecifes,26400,True,True,True,True,True,True,True,True,True,6077010.0,-34.064591121211,-60.1025564443537,9,Grande
133,BUENOS AIRES,Arrecifes,Todd,732,False,False,False,True,False,False,True,True,True,6077020.0,-34.0328240475348,-60.1562270065746,4,Pequeña
134,BUENOS AIRES,Arrecifes,Viña,464,True,False,False,False,False,True,False,True,True,6077030.0,-33.9922765156087,-60.2263211205477,4,Muy pequeña
135,BUENOS AIRES,Avellaneda,Area Reserva Cinturón Ecológico,3550,False,False,False,False,False,False,False,True,True,6035010.0,-34.6750056478487,-58.3105634248142,2,Mediana
136,BUENOS AIRES,Avellaneda,Avellaneda,25325,True,True,True,True,True,True,True,True,True,6035010.0,-34.6626508059016,-58.3656990232718,9,Grande
137,BUENOS AIRES,Avellaneda,Crucesita,22745,False,True,False,True,False,False,True,True,True,6035010.0,-34.66910587351,-58.3574544412345,5,Grande
138,BUENOS AIRES,Avellaneda,Dock Sud,37392,True,True,False,True,False,True,True,True,True,6035010.0,-34.6491266928534,-58.3411774769137,7,Grande
139,BUENOS AIRES,Avellaneda,Gerli,32384,False,True,False,True,False,False,True,True,True,6035010.0,-34.6847637540553,-58.3726025503412,5,Grande
140,BUENOS AIRES,General La Madrid,La Colina,663,False,False,False,False,False,False,True,False,False,6322020.0,-37.3607690235166,-61.5348487870647,1,Pequeña
141,BUENOS AIRES,General La Madrid,Las Martinetas,215,False,False,False,False,False,True,True,False,False,6322030.0,-37.1980813542863,-61.1220424031557,2,Muy pequeña
142,BUENOS AIRES,General La Madrid,Líbano,292,False,False,False,False,False,False,True,False,False,6322040.0,-37.53362138441,-61.2865750087495,1,Muy pequeña
143,BUENOS AIRES,General La Madrid,Pontaut,68,False,False,False,False,False,False,False,True,False,6322050.0,-37.731769903374,-61.3230957170244,1,Muy pequeña
144,BUENOS AIRES,General Las Heras,General Hornos,194,False,False,False,False,False,False,False,False,True,6329010.0,-34.8937763345299,-58.9172215319327,1,Muy pequeña
145,BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),11331,True,True,True,False,False,True,True,True,True,6329020.0,-34.9267739074255,-58.9453407851291,7,Grande
146,BUENOS AIRES,General Las Heras,La Choza,41,False,False,False,False,False,False,False,False,False,6329030.0,-34.7829908276155,-59.1095647693247,0,Muy pequeña
147,BUENOS AIRES,General Las Heras,Lozano,0,False,False,False,False,True,False,False,False,False,6329020.0,-34.8542796259808,-59.0533451317779,1,Muy pequeña
148,BUENOS AIRES,General Las Heras,Plomer,198,False,False,False,False,False,False,True,False,False,6329050.0,-34.7941193667757,-59.0279756935744,1,Muy pequeña
149,BUENOS AIRES,General Las Heras,Villars,1147,False,True,True,True,False,False,True,False,False,6329060.0,-34.8300241949658,-58.9422589402025,4,Pequeña
150,BUENOS AIRES,General Lavalle,Chacras de San Clemente,0,False,False,False,False,False,True,False,False,False,6336020.0,-36.4080851872455,-56.9433553335054,1,Muy pequeña
151,BUENOS AIRES,General Lavalle,General Lavalle,1827,False,True,False,True,True,True,True,True,True,6336020.0,-36.4080851872455,-56.9433553335054,7,Pequeña
152,BUENOS AIRES,General Lavalle,Pavón,942,False,False,False,True,False,True,False,True,True,6336030.0,-36.7089537726649,-56.7598433617574,4,Pequeña
153,BUENOS AIRES,General Paz,Barrio Río Salado,265,False,False,False,False,False,False,False,False,False,6343010.0,-35.6936377582584,-58.447313612508,0,Muy pequeña
